1995,1,1,0,New Year's Day
1995,2,13,1,Family Day
1995,2,20,1,Louis Riel Day
1995,2,20,1,Islander Day
1995,2,20,1,Family Day
1995,2,20,1,Heritage Day
1995,3,17,5,Saint Patrick's Day
1995,4,14,5,Good Friday
1995,4,17,1,Easter Monday
1995,4,23,0,Saint George's Day
1995,5,22,1,National Patriots' Day
1995,5,22,1,Victoria Day
1995,6,21,3,National Aboriginal Day
1995,6,24,6,Discovery Day
1995,7,1,6,Canada Day
1995,7,12,3,Orangemen's Day
1995,8,7,1,Civic Holiday
1995,8,7,1,Heritage Day
1995,8,7,1,New Brunswick Day
1995,8,7,1,Natal Day
1995,8,21,1,Gold Cup Parade Day
1995,8,21,1,Discovery Day
1995,9,4,1,Labour Day
1995,10,9,1,Thanksgiving
1995,11,11,6,Armistice Day
1995,11,11,6,Remembrance Day
1995,12,25,1,Christmas Day
1995,12,26,2,St. Stephen's Day
1996,1,1,1,New Year's Day
1996,2,12,1,Family Day
1996,2,19,1,Louis Riel Day
1996,2,19,1,Islander Day
1996,2,19,1,Family Day
1996,2,19,1,Heritage Day
1996,3,17,0,Saint Patrick's Day
1996,4,5,5,Good Friday
1996,4,8,1,Easter Monday
1996,4,23,2,Saint George's Day
1996,5,20,1,National Patriots' Day
1996,5,20,1,Victoria Day
1996,6,21,5,National Aboriginal Day
1996,6,24,1,Discovery Day
1996,7,1,1,Canada Day
1996,7,12,5,Orangemen's Day
1996,8,5,1,Civic Holiday
1996,8,5,1,Heritage Day
1996,8,5,1,New Brunswick Day
1996,8,5,1,Natal Day
1996,8,19,1,Gold Cup Parade Day
1996,8,19,1,Discovery Day
1996,9,2,1,Labour Day
1996,10,14,1,Thanksgiving
1996,11,11,1,Armistice Day
1996,11,11,1,Remembrance Day
1996,12,25,3,Christmas Day
1996,12,26,4,St. Stephen's Day
1997,1,1,3,New Year's Day
1997,2,10,1,Family Day
1997,2,17,1,Louis Riel Day
1997,2,17,1,Islander Day
1997,2,17,1,Family Day
1997,2,17,1,Heritage Day
1997,3,17,1,Saint Patrick's Day
1997,3,28,5,Good Friday
1997,3,31,1,Easter Monday
1997,4,23,3,Saint George's Day
1997,5,19,1,National Patriots' Day
1997,5,19,1,Victoria Day
1997,6,21,6,National Aboriginal Day
1997,6,24,2,Discovery Day
1997,7,1,2,Canada Day
1997,7,12,6,Orangemen's Day
1997,8,4,1,Civic Holiday
1997,8,4,1,Heritage Day
1997,8,4,1,New Brunswick Day
1997,8,4,1,Natal Day
1997,8,18,1,Gold Cup Parade Day
1997,8,18,1,Discovery Day
1997,9,1,1,Labour Day
1997,10,13,1,Thanksgiving
1997,11,11,2,Armistice Day
1997,11,11,2,Remembrance Day
1997,12,25,4,Christmas Day
1997,12,26,5,St. Stephen's Day
1998,1,1,4,New Year's Day
1998,2,9,1,Family Day
1998,2,16,1,Louis Riel Day
1998,2,16,1,Islander Day
1998,2,16,1,Family Day
1998,2,16,1,Heritage Day
1998,3,17,2,Saint Patrick's Day
1998,4,10,5,Good Friday
1998,4,13,1,Easter Monday
1998,4,23,4,Saint George's Day
1998,5,18,1,National Patriots' Day
1998,5,18,1,Victoria Day
1998,6,21,0,National Aboriginal Day
1998,6,24,3,Discovery Day
1998,7,1,3,Canada Day
1998,7,12,0,Orangemen's Day
1998,8,3,1,Civic Holiday
1998,8,3,1,Heritage Day
1998,8,3,1,New Brunswick Day
1998,8,3,1,Natal Day
1998,8,17,1,Gold Cup Parade Day
1998,8,17,1,Discovery Day
1998,9,7,1,Labour Day
1998,10,12,1,Thanksgiving
1998,11,11,3,Armistice Day
1998,11,11,3,Remembrance Day
1998,12,25,5,Christmas Day
1998,12,26,6,St. Stephen's Day
1999,1,1,5,New Year's Day
1999,2,8,1,Family Day
1999,2,15,1,Louis Riel Day
1999,2,15,1,Islander Day
1999,2,15,1,Family Day
1999,2,15,1,Heritage Day
1999,3,17,3,Saint Patrick's Day
1999,4,2,5,Good Friday
1999,4,5,1,Easter Monday
1999,4,23,5,Saint George's Day
1999,5,24,1,National Patriots' Day
1999,5,24,1,Victoria Day
1999,6,21,1,National Aboriginal Day
1999,6,24,4,Discovery Day
1999,7,1,4,Canada Day
1999,7,12,1,Orangemen's Day
1999,8,2,1,Civic Holiday
1999,8,2,1,Heritage Day
1999,8,2,1,New Brunswick Day
1999,8,2,1,Natal Day
1999,8,16,1,Gold Cup Parade Day
1999,8,16,1,Discovery Day
1999,9,6,1,Labour Day
1999,10,11,1,Thanksgiving
1999,11,11,4,Armistice Day
1999,11,11,4,Remembrance Day
1999,12,25,6,Christmas Day
1999,12,26,0,St. Stephen's Day
2000,1,1,6,New Year's Day
2000,2,14,1,Family Day
2000,2,21,1,Louis Riel Day
2000,2,21,1,Islander Day
2000,2,21,1,Family Day
2000,2,21,1,Heritage Day
2000,3,17,5,Saint Patrick's Day
2000,4,21,5,Good Friday
2000,4,23,0,Saint George's Day
2000,4,24,1,Easter Monday
2000,5,22,1,National Patriots' Day
2000,5,22,1,Victoria Day
2000,6,21,3,National Aboriginal Day
2000,6,24,6,Discovery Day
2000,7,1,6,Canada Day
2000,7,12,3,Orangemen's Day
2000,8,7,1,Civic Holiday
2000,8,7,1,Heritage Day
2000,8,7,1,New Brunswick Day
2000,8,7,1,Natal Day
2000,8,21,1,Gold Cup Parade Day
2000,8,21,1,Discovery Day
2000,9,4,1,Labour Day
2000,10,9,1,Thanksgiving
2000,11,11,6,Armistice Day
2000,11,11,6,Remembrance Day
2000,12,25,1,Christmas Day
2000,12,26,2,St. Stephen's Day
2001,1,1,1,New Year's Day
2001,2,12,1,Family Day
2001,2,19,1,Louis Riel Day
2001,2,19,1,Islander Day
2001,2,19,1,Family Day
2001,2,19,1,Heritage Day
2001,3,17,6,Saint Patrick's Day
2001,4,13,5,Good Friday
2001,4,16,1,Easter Monday
2001,4,23,1,Saint George's Day
2001,5,21,1,National Patriots' Day
2001,5,21,1,Victoria Day
2001,6,21,4,National Aboriginal Day
2001,6,24,0,Discovery Day
2001,7,1,0,Canada Day
2001,7,12,4,Orangemen's Day
2001,8,6,1,Civic Holiday
2001,8,6,1,Heritage Day
2001,8,6,1,New Brunswick Day
2001,8,6,1,Natal Day
2001,8,20,1,Gold Cup Parade Day
2001,8,20,1,Discovery Day
