2010,12,24,5,Christmas Day
2010,12,31,5,New Year's Day
2011,1,17,1,Martin Luther King, Jr. Day
2011,2,21,1,Washington's Birthday
2011,5,30,1,Memorial Day
2011,7,4,1,Independence Day
2011,9,5,1,Labor Day
2011,10,10,1,Columbus Day
2011,11,11,5,Veterans Day
2011,11,24,4,Thanksgiving Day
2011,12,26,1,Christmas Day
2012,1,2,1,New Year's Day
2012,1,16,1,Martin Luther King, Jr. Day
2012,2,20,1,Washington's Birthday
2012,5,28,1,Memorial Day
2012,7,4,3,Independence Day
2012,9,3,1,Labor Day
2012,10,8,1,Columbus Day
2012,11,12,1,Veterans Day
2012,11,22,4,Thanksgiving Day
2012,12,25,2,Christmas Day
2013,1,1,2,New Year's Day
2013,1,20,0,Inauguration Day
2013,1,21,1,Martin Luther King, Jr. Day
2013,2,18,1,Washington's Birthday
2013,5,27,1,Memorial Day
2013,7,4,4,Independence Day
2013,9,2,1,Labor Day
2013,10,14,1,Columbus Day
2013,11,11,1,Veterans Day
2013,11,28,4,Thanksgiving Day
2013,12,25,3,Christmas Day
2014,1,1,3,New Year's Day
2014,1,20,1,Martin Luther King, Jr. Day
2014,2,17,1,Washington's Birthday
2014,5,26,1,Memorial Day
2014,7,4,5,Independence Day
2014,9,1,1,Labor Day
2014,10,13,1,Columbus Day
2014,11,11,2,Veterans Day
2014,11,27,4,Thanksgiving Day
2014,12,25,4,Christmas Day
2015,1,1,4,New Year's Day
2015,1,19,1,Martin Luther King, Jr. Day
2015,2,16,1,Washington's Birthday
2015,5,25,1,Memorial Day
2015,7,3,5,Independence Day
2015,9,7,1,Labor Day
2015,10,12,1,Columbus Day
2015,11,11,3,Veterans Day
2015,11,26,4,Thanksgiving Day
2015,12,25,5,Christmas Day
2016,1,1,5,New Year's Day
2016,1,18,1,Martin Luther King, Jr. Day
2016,2,15,1,Washington's Birthday
2016,5,30,1,Memorial Day
2016,7,4,1,Independence Day
2016,9,5,1,Labor Day
2016,10,10,1,Columbus Day
2016,11,11,5,Veterans Day
2016,11,24,4,Thanksgiving Day
2016,12,26,1,Christmas Day
2017,1,2,1,New Year's Day
2017,1,16,1,Martin Luther King, Jr. Day
2017,1,20,5,Inauguration Day
2017,2,20,1,Washington's Birthday
2017,5,29,1,Memorial Day
2017,7,4,2,Independence Day
2017,9,4,1,Labor Day
2017,10,9,1,Columbus Day
2017,11,10,5,Veterans Day
2017,11,23,4,Thanksgiving Day
2017,12,25,1,Christmas Day
2018,1,1,1,New Year's Day
2018,1,15,1,Martin Luther King, Jr. Day
2018,2,19,1,Washington's Birthday
2018,5,28,1,Memorial Day
2018,7,4,3,Independence Day
2018,9,3,1,Labor Day
2018,10,8,1,Columbus Day
2018,11,12,1,Veterans Day
2018,11,22,4,Thanksgiving Day
2018,12,25,2,Christmas Day
2019,1,1,2,New Year's Day
2019,1,21,1,Martin Luther King, Jr. Day
2019,2,18,1,Washington's Birthday
2019,5,27,1,Memorial Day
2019,7,4,4,Independence Day
2019,9,2,1,Labor Day
2019,10,14,1,Columbus Day
2019,11,11,1,Veterans Day
2019,11,28,4,Thanksgiving Day
2019,12,25,3,Christmas Day
2020,1,1,3,New Year's Day
2020,1,20,1,Martin Luther King, Jr. Day
2020,2,17,1,Washington's Birthday
2020,5,25,1,Memorial Day
2020,7,3,5,Independence Day
2020,9,7,1,Labor Day
2020,10,12,1,Columbus Day
2020,11,11,3,Veterans Day
2020,11,26,4,Thanksgiving Day
2020,12,25,5,Christmas Day
2021,1,1,5,New Year's Day
2021,1,18,1,Martin Luther King, Jr. Day
2021,1,20,3,Inauguration Day
2021,2,15,1,Washington's Birthday
2021,5,31,1,Memorial Day
2021,7,5,1,Independence Day
2021,9,6,1,Labor Day
2021,10,11,1,Columbus Day
2021,11,11,4,Veterans Day
2021,11,25,4,Thanksgiving Day
2021,12,24,5,Christmas Day
2021,12,31,5,New Year's Day
2022,1,17,1,Martin Luther King, Jr. Day
2022,2,21,1,Washington's Birthday
2022,5,30,1,Memorial Day
2022,7,4,1,Independence Day
2022,9,5,1,Labor Day
2022,10,10,1,Columbus Day
2022,11,11,5,Veterans Day
2022,11,24,4,Thanksgiving Day
2022,12,26,1,Christmas Day
2023,1,2,1,New Year's Day
2023,1,16,1,Martin Luther King, Jr. Day
2023,2,20,1,Washington's Birthday
2023,5,29,1,Memorial Day
2023,7,4,2,Independence Day
2023,9,4,1,Labor Day
2023,10,9,1,Columbus Day
2023,11,10,5,Veterans Day
2023,11,23,4,Thanksgiving Day
2023,12,25,1,Christmas Day
2024,1,1,1,New Year's Day
2024,1,15,1,Martin Luther King, Jr. Day
2024,2,19,1,Washington's Birthday
2024,5,27,1,Memorial Day
2024,7,4,4,Independence Day
2024,9,2,1,Labor Day
2024,10,14,1,Columbus Day
2024,11,11,1,Veterans Day
2024,11,28,4,Thanksgiving Day
2024,12,25,3,Christmas Day
2025,1,1,3,New Year's Day
2025,1,20,1,Martin Luther King, Jr. Day
2025,1,20,1,Inauguration Day
2025,2,17,1,Washington's Birthday
2025,5,26,1,Memorial Day
2025,7,4,5,Independence Day
2025,9,1,1,Labor Day
2025,10,13,1,Columbus Day
2025,11,11,2,Veterans Day
2025,11,27,4,Thanksgiving Day
2025,12,25,4,Christmas Day
2026,1,1,4,New Year's Day
2026,1,19,1,Martin Luther King, Jr. Day
2026,2,16,1,Washington's Birthday
2026,5,25,1,Memorial Day
2026,7,3,5,Independence Day
2026,9,7,1,Labor Day
2026,10,12,1,Columbus Day
2026,11,11,3,Veterans Day
2026,11,26,4,Thanksgiving Day
2026,12,25,5,Christmas Day
2027,1,1,5,New Year's Day
2027,1,18,1,Martin Luther King, Jr. Day
2027,2,15,1,Washington's Birthday
2027,5,31,1,Memorial Day
2027,7,5,1,Independence Day
2027,9,6,1,Labor Day
2027,10,11,1,Columbus Day
2027,11,11,4,Veterans Day
2027,11,25,4,Thanksgiving Day
2027,12,24,5,Christmas Day
2027,12,31,5,New Year's Day
2028,1,17,1,Martin Luther King, Jr. Day
2028,2,21,1,Washington's Birthday
2028,5,29,1,Memorial Day
2028,7,4,2,Independence Day
2028,9,4,1,Labor Day
2028,10,9,1,Columbus Day
2028,11,10,5,Veterans Day
2028,11,23,4,Thanksgiving Day
2028,12,25,1,Christmas Day
2029,1,1,1,New Year's Day
2029,1,15,1,Martin Luther King, Jr. Day
2029,1,20,6,Inauguration Day
2029,2,19,1,Washington's Birthday
2029,5,28,1,Memorial Day
2029,7,4,3,Independence Day
2029,9,3,1,Labor Day
2029,10,8,1,Columbus Day
2029,11,12,1,Veterans Day
2029,11,22,4,Thanksgiving Day
2029,12,25,2,Christmas Day
2030,1,1,2,New Year's Day
2030,1,21,1,Martin Luther King, Jr. Day
2030,2,18,1,Washington's Birthday
2030,5,27,1,Memorial Day
2030,7,4,4,Independence Day
2030,9,2,1,Labor Day
2030,10,14,1,Columbus Day
2030,11,11,1,Veterans Day
2030,11,28,4,Thanksgiving Day
2030,12,25,3,Christmas Day
2031,1,1,3,New Year's Day
2031,1,20,1,Martin Luther King, Jr. Day
2031,2,17,1,Washington's Birthday
2031,5,26,1,Memorial Day
2031,7,4,5,Independence Day
2031,9,1,1,Labor Day
2031,10,13,1,Columbus Day
2031,11,11,2,Veterans Day
2031,11,27,4,Thanksgiving Day
2031,12,25,4,Christmas Day
2032,1,1,4,New Year's Day
2032,1,19,1,Martin Luther King, Jr. Day
2032,2,16,1,Washington's Birthday
2032,5,31,1,Memorial Day
2032,7,5,1,Independence Day
2032,9,6,1,Labor Day
2032,10,11,1,Columbus Day
2032,11,11,4,Veterans Day
2032,11,25,4,Thanksgiving Day
2032,12,24,5,Christmas Day
2032,12,31,5,New Year's Day
2033,1,17,1,Martin Luther King, Jr. Day
2033,1,20,4,Inauguration Day
2033,2,21,1,Washington's Birthday
2033,5,30,1,Memorial Day
2033,7,4,1,Independence Day
2033,9,5,1,Labor Day
2033,10,10,1,Columbus Day
2033,11,11,5,Veterans Day
2033,11,24,4,Thanksgiving Day
2033,12,26,1,Christmas Day
2034,1,2,1,New Year's Day
2034,1,16,1,Martin Luther King, Jr. Day
2034,2,20,1,Washington's Birthday
2034,5,29,1,Memorial Day
2034,7,4,2,Independence Day
2034,9,4,1,Labor Day
2034,10,9,1,Columbus Day
2034,11,10,5,Veterans Day
2034,11,23,4,Thanksgiving Day
2034,12,25,1,Christmas Day
